BlobID,Compound Name,Group Name,Inclusion,Internal Standard,Peak I (min),Peak II (sec),Peak Value,Volume
1,ethylene,,TRUE,0,4.08333415,5.060001012,363.5400049,46164.87993
2,methane,,TRUE,0,3.91666745,5.280001056,183.0299951,22904.45003
3,propane,,TRUE,0,5.58333445,5.020001004,152.1177796,26748.16236
4,propylene,,TRUE,0,5.41666775,5.860001172,137.1089317,23005.41227
5,benzene,,TRUE,0,23.333338,3.090000618,57.69567445,1815.24197
6,ethane,,TRUE,0,4.25000085,3.260000652,26.09000028,4087.749634
7,toluene,,TRUE,0,28.5000057,3.170000634,19.1224635,399.2141382
8,"1,3-butadiene",,TRUE,0,9.75000195,4.960000992,11.43081707,2832.033302
9,styrene,,TRUE,0,34.1666735,3.470000694,9.690269439,151.1980602
10,"1,3-cyclopentadiene",,TRUE,0,17.41667015,2.240000448,6.504667684,604.9896728
11,"5-methyl-1,3-cyclopentadiene",,TRUE,0,22.58333785,2.710000542,5.9241043,186.7658214
12,"1,3-cyclopentadiene",,TRUE,0,17.41667015,1.690000338,5.484680995,551.7744191
13,,1-butene,TRUE,0,9.58333525,4.080000816,4.880571928,541.5409837
14,,1-butene,TRUE,0,9.58333525,4.140000828,4.870572541,697.6506193
15,"1-methyl-1,3-cyclopentadiene",,TRUE,0,22.75000455,2.760000552,4.144216231,171.742949
16,"2-methyl-1,3-butadiene",,TRUE,0,16.0000032,2.10000042,4.106845431,119.3729928
17,"1,3-cyclohexadiene",,TRUE,0,23.91667145,2.860000572,3.60931409,157.1895882
18,,,FALSE,0,67.1666801,4.210000842,2.833233359,97.11963827
19,indene,,TRUE,0,40.8333415,3.890000778,2.565272947,48.43955832
20,octane,,TRUE,0,31.8333397,2.30000046,1.980093427,76.51660697
21,,methylacetylene,TRUE,0,6.75000135,0.420000084,1.298636115,430.754148
22,,methylacetylene,TRUE,0,6.666668,5.160001032,1.23866922,128.9095361
23,,,FALSE,0,74.08334815,3.910000782,1.224940437,51.2202711
24,"1,3-pentadiene, (E)-",,TRUE,0,17.0000034,2.340000468,1.205058237,95.57034643
25,,,FALSE,0,64.41667955,3.920000784,1.119303657,42.53400953
26,fulvene,,TRUE,0,22.3333378,2.970000594,1.11425469,40.38080152
27,,trans-2-butene,TRUE,0,10.6666688,6.10000122,1.032974383,122.840014
28,,,FALSE,0,75.08334835,4.390000878,0.987712788,62.74958699
29,,trans-2-butene,TRUE,0,10.75000215,1.55000031,0.93299108,87.16138204
30,1-pentene,,TRUE,0,15.1666697,3.710000742,0.927459302,85.96086675
31,,cyclopentene,TRUE,0,18.41667035,2.240000448,0.884000121,66.06505047
32,"2-methyl-1,3-butadiene",,TRUE,0,16.08333655,1.0000002,0.84674036,61.46575692
33,,,FALSE,0,75.000015,4.040000808,0.798145725,53.27596329
34,"1,3-pentadiene, (Z)-",,TRUE,0,17.6666702,2.280000456,0.774415041,58.86566323
35,,cyclopentene,TRUE,0,18.41667035,1.420000284,0.744003006,41.6162934
36,cis-2-butene,,TRUE,0,11.5000023,4.410000882,0.705368501,69.85863466
37,,,FALSE,0,75.8333485,3.920000784,0.535341409,42.34557334
38,,,FALSE,0,75.75001515,4.530000906,0.475583347,40.22768591
39,,,FALSE,0,84.58335025,4.990000998,0.222827812,83.28986418
40,,,FALSE,0,83.91668345,5.020001004,0.196146638,42.05423997
41,ethylbenzene,,TRUE,0,32.91667325,3.25000065,1.229802984,32.51749557
42,"xylene (m, p)",,TRUE,0,33.33334,3.210000642,1.229977407,28.83981083
43,naphthalene,,TRUE,0,46.3333426,4.380000876,1.87211663,36.18092446
44,decane,,TRUE,0,39.6666746,2.20000044,1.110793557,27.49189531
45,o-xylene,,TRUE,0,34.41667355,3.30000066,0.580383139,12.07741916
46,1-methyl-1H-Indene,,TRUE,0,45.08334235,3.85000077,0.630948303,18.03028457
47,,C3 benzene,TRUE,0,40.08334135,3.510000702,0.5928273,12.05937355
