simulation names,InChI
H,1S/H
H2,1S/H2/h1H
O,1S/O
O2,1S/O2/c1-2
OH,1S/HO/h1H
OHV,1S/HO/h1H
H2O,1S/H2O/h1H2
N2,1S/N2/c1-2
HO2,1S/HO2/c1-2/h1H
H2O2,1S/H2O2/c1-2/h1-2H
AR,1S/Ar
CO,1S/CO/c1-2
CO2,1S/CO2/c2-1-3
CH2O,1S/CH2O/c1-2/h1H2
HCO,1S/CHO/c1-2/h1H
HO2CHO,"1S/CH2O3/c2-1-4-3/h1,3H"
HCOH,1S/CH2O/c1-2/h1-2H
O2CHO,1S/CHO3/c2-1-4-3/h1H
HOCHO,"1S/CH2O2/c2-1-3/h1H,(H,2,3)"
OCHO,1S/CHO2/c2-1-3/h1H
HOCH2O2H,"1S/CH4O3/c2-1-4-3/h2-3H,1H2"
HOCH2O2,"1S/CH3O3/c2-1-4-3/h2H,1H2"
OCH2O2H,"1S/CH3O3/c2-1-4-3/h3H,1H2"
HOCH2O,"1S/CH3O2/c2-1-3/h2H,1H2"
CH3OH,"1S/CH4O/c1-2/h2H,1H3"
CH2OH,"1S/CH3O/c1-2/h2H,1H2"
CH3O,1S/CH3O/c1-2/h1H3
CH3O2H,"1S/CH4O2/c1-3-2/h2H,1H3"
CH3O2,1S/CH3O2/c1-3-2/h1H3
CH4,1S/CH4/h1H4
CH3,1S/CH3/h1H3
CH2,1S/CH2/h1H2
CH2(S),1S/CH2/h1H2
C,1S/C
CH,1S/CH/H1h
CHV,1S/CH/H1h
C2H6,1S/C2H6/c1-2/h1-2H3
C2H5,"1S/C2H5/c1-2/h1H2,2H3"
C2H4,1S/C2H4/c1-2/h1-2H2
C2H3,"1S/C2H3/c1-2/h1H,2H2"
C2H2,1S/C2H2/c1-2/h1-2H
C2H,1S/C2H/c1-2/h1H
CH3CHO,"1S/C2H4O/c1-2-3/h2H,1H3"
C2H3OH,"1S/C2H4O/c1-2-3/h2-3H,1H2"
C2H2OH,1S/C2H3O/c1-2-3/h1-3H
CH3CO,1S/C2H3O/c1-2-3/h1H3
CH2CHO,"1S/C2H3O/c1-2-3/h2H,1H2"
O2CH2CHO,"1S/C2H3O3/c3-1-2-5-4/h1H,2H2"
HO2CH2CO,"1S/C2H3O3/c3-1-2-5-4/h4H,2H2"
CH2CO,1S/C2H2O/c1-2-3/h1H2
HCCO,1S/C2HO/c1-2-3/h1H
HCCOH,"1S/C2H2O/c1-2-3/h1,3H"
CH3CO3H,"1S/C2H4O3/c1-2(3)5-4/h4H,1H3"
CH3CO3,1S/C2H3O3/c1-2(3)5-4/h1H3
CH3CO2,1S/C2H3O2/c1-2(3)4/h1H3
C2H5OH,"1S/C2H6O/c1-2-3/h3H,2H2,1H3"
C2H5O,"1S/C2H5O/c1-2-3/h2H2,1H3"
PC2H4OH,"1S/C2H5O/c1-2-3/h3H,1-2H2"
SC2H4OH,"1S/C2H5O/c1-2-3/h2-3H,1H3"
O2C2H4OH,"1S/C2H5O3/c3-1-2-5-4/h3H,1-2H2"
C2H5O2H,"1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3"
C2H5O2,"1S/C2H5O2/c1-2-4-3/h2H2,1H3"
C2H4O2H,"1S/C2H5O2/c1-2-4-3/h3H,1-2H2"
C2H4O1-2,1S/C2H4O/c1-2-3-1/h1-2H2
C2H3O1-2,"1S/C2H3O/c1-2-3-1/h1H,2H2"
CH3COCH3,1S/C3H6O/c1-3(2)4/h1-2H3
CH3COCH2,"1S/C3H5O/c1-3(2)4/h1H2,2H3"
CH3COCH2O2,"1S/C3H5O3/c1-3(4)2-6-5/h2H2,1H3"
C3KET21,"1S/C3H6O3/c1-3(4)2-6-5/h5H,2H2,1H3"
C2H3CHO,"1S/C3H4O/c1-2-3-4/h2-3H,1H2"
C2H3CO,"1S/C3H3O/c1-2-3-4/h2H,1H2"
C2H5CHO,"1S/C3H6O/c1-2-3-4/h3H,2H2,1H3"
C2H5CO,"1S/C3H5O/c1-2-3-4/h2H2,1H3"
CH3OCH3,1S/C2H6O/c1-3-2/h1-2H3
CH3OCH2,"1S/C2H5O/c1-3-2/h1H2,2H3"
CH3OCH2O2,"1S/C2H5O3/c1-4-2-5-3/h2H2,1H3"
CH2OCH2O2H,"1S/C2H5O3/c1-4-2-5-3/h3H,1-2H2"
CH3OCH2O2H,"1S/C2H6O3/c1-4-2-5-3/h3H,2H2,1H3"
CH3OCH2O,"1S/C2H5O2/c1-4-2-3/h2H2,1H3"
O2CH2OCH2O2H,"1S/C2H5O5/c3-6-1-5-2-7-4/h3H,1-2H2"
