,Date,Time,Feed_C3H8_FeedRate,Feed_H2O_FeedRate,GCxGC,PrimaryInternalStandard_FeedRate,PrimaryInternalStandard_Name,RGA-FID,RGA-TCD-L,RGA-TCD-R,SecondaryInternalStandard_Info,SecondaryInternalStandard_Name,Temperature,TertiaryInternalStandard_Info,TertiaryInternalStandard_Name
800-1,23/12/2015,13:21,130,60,propane_50_800_Blob_Table.csv,50,N2,DfchC001.XLS,DfchA001.XLS,DfchB001.XLS,FID,CH4,800,GCxGC,methane
800-2,23/12/2015,14:08,130,60,propane_50_800_Blob_Table.csv,50,N2,DfchC002.XLS,DfchA002.XLS,DfchB002.XLS,FID,CH4,800,GCxGC,methane
800-3,23/12/2015,14:33,130,60,propane_50_800_Blob_Table.csv,50,N2,DfchC003.XLS,DfchA003.XLS,DfchB003.XLS,FID,CH4,800,GCxGC,methane
800-4,23/12/2015,14:55,130,60,propane_50_800_Blob_Table.csv,50,N2,DfchC004.XLS,DfchA004.XLS,DfchB004.XLS,FID,CH4,800,GCxGC,methane
825-1,23/12/2015,15:35,130,60,propane_50_825_Blob_Table.csv,50,N2,DfchC005.XLS,DfchA005.XLS,DfchB005.XLS,FID,CH4,825,GCxGC,methane
825-2,23/12/2015,16:03,130,60,propane_50_825_Blob_Table.csv,50,N2,DfchC006.XLS,DfchA006.XLS,DfchB006.XLS,FID,CH4,825,GCxGC,methane
825-3,23/12/2015,16:25,130,60,propane_50_825_Blob_Table.csv,50,N2,DfchC007.XLS,DfchA007.XLS,DfchB007.XLS,FID,CH4,825,GCxGC,methane
825-4,23/12/2015,16:49,130,60,propane_50_825_Blob_Table.csv,50,N2,DfchC008.XLS,DfchA008.XLS,DfchB008.XLS,FID,CH4,825,GCxGC,methane
825-5,23/12/2015,17:13,130,60,propane_50_825_Blob_Table.csv,50,N2,DfchC009.XLS,DfchA009.XLS,DfchB009.XLS,FID,CH4,825,GCxGC,methane
850-1,24/12/2015,11:33,130,60,propane_50_850_Blob_Table.csv,50,N2,DfchC010.XLS,DfchA010.XLS,DfchB010.XLS,FID,CH4,850,GCxGC,methane
850-2,24/12/2015,11:58,130,60,propane_50_850_Blob_Table.csv,50,N2,DfchC011.XLS,DfchA011.XLS,DfchB011.XLS,FID,CH4,850,GCxGC,methane
850-3,24/12/2015,12:23,130,60,propane_50_850_Blob_Table.csv,50,N2,DfchC012.XLS,DfchA012.XLS,DfchB012.XLS,FID,CH4,850,GCxGC,methane
850-4,24/12/2015,12:49,130,60,propane_50_850_Blob_Table.csv,50,N2,DfchC013.XLS,DfchA013.XLS,DfchB013.XLS,FID,CH4,850,GCxGC,methane
875-1,24/12/2015,13:20,130,60,propane_50_875_Blob_Table.csv,50,N2,DfchC014.XLS,DfchA014.XLS,DfchB014.XLS,FID,CH4,875,GCxGC,methane
875-2,24/12/2015,13:46,130,60,propane_50_875_Blob_Table.csv,50,N2,DfchC015.XLS,DfchA015.XLS,DfchB015.XLS,FID,CH4,875,GCxGC,methane
875-3,24/12/2015,14:10,130,60,propane_50_875_Blob_Table.csv,50,N2,DfchC016.XLS,DfchA016.XLS,DfchB016.XLS,FID,CH4,875,GCxGC,methane
875-4,24/12/2015,13:39,130,60,propane_50_875_Blob_Table.csv,50,N2,DfchC017.XLS,DfchA017.XLS,DfchB017.XLS,FID,CH4,875,GCxGC,methane
