Time;Date;1_Feed_FLOW_CF01_PV;1_Feed_FLOW_CF01_SV;1_Feed_FLOW_CF02_PV;1_Feed_FLOW_CF02_SV;1_Feed_FLOW_CF03_SV;1_Feed_FLOW_CF03_SV;1_Feed_FLOW_CF04_SV;1_Feed_FLOW_CF04_SV;1_Feed_FLOW_CF05_SV;1_Feed_FLOW_CF05_SV;1_Feed_FLOW_CF06_SV;1_Feed_FLOW_CF06_SV
0:00:11;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:00:31;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:00:51;23/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:01:11;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:01:31;23/12/2015;-0.31875;0;0;0;0;0;0;0;0;0;0;0
0:01:51;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:02:11;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:02:31;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:02:51;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:03:11;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:03:31;23/12/2015;-0.31875;0;0;0;0;0;0;0;0;0;0;0
0:03:51;23/12/2015;-0.31875;0;0;0;0;0;0;0;0;0;0;0
0:04:11;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:04:31;23/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:04:51;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:05:11;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:05:31;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:05:51;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:06:11;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:06:31;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:06:51;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:07:11;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:07:31;23/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:07:51;23/12/2015;-0.26875;0;0;0;0;0;0;0;0;0;0;0
0:08:11;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:08:31;23/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:08:51;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:09:11;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:09:31;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:09:51;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:10:11;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:10:31;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:10:51;23/12/2015;-0.2875;0;0;0;0;0;0;0;0;0;0;0
0:11:11;23/12/2015;-0.29375;0;0;0;0;0;0;0;0;0;0;0
0:11:31;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:11:51;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:12:11;23/12/2015;-0.31875;0;0;0;0;0;0;0;0;0;0;0
0:12:31;23/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:12:51;23/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:13:11;23/12/2015;-0.29375;0;0;0;0;0;0;0;0;0;0;0
0:13:31;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:13:51;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:14:11;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:14:31;23/12/2015;-0.29375;0;0;0;0;0;0;0;0;0;0;0
0:14:51;23/12/2015;-0.29375;0;0;0;0;0;0;0;0;0;0;0
0:15:11;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:15:31;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:15:51;23/12/2015;-0.2875;0;0;0;0;0;0;0;0;0;0;0
0:16:11;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:16:31;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:16:51;23/12/2015;-0.33125;0;0;0;0;0;0;0;0;0;0;0
0:17:11;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:17:31;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:17:51;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:18:11;23/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:18:31;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:18:51;23/12/2015;-0.325;0;0;0;0;0;0;0;0;0;0;0
0:19:11;23/12/2015;-0.33125;0;0;0;0;0;0;0;0;0;0;0
0:19:31;23/12/2015;-0.31875;0;0;0;0;0;0;0;0;0;0;0
0:19:51;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:20:11;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:20:31;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:20:51;23/12/2015;-0.29375;0;0;0;0;0;0;0;0;0;0;0
0:21:11;23/12/2015;-0.3;0;0;0;0;0;0;0;0;0;0;0
0:21:31;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:21:51;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:22:11;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
0:22:31;23/12/2015;-0.30625;0;0;0;0;0;0;0;0;0;0;0
0:22:51;23/12/2015;-0.3125;0;0;0;0;0;0;0;0;0;0;0
