Time;Date;PI-01 Liquid_HC;PI-02 Gas_HC;PI-03 Inert;PI-04 H2O;PI-05 Elicra;PI-06 Nabertherm;PI-07 Outlet Reactor;PI-08 RGA Effluent Inlet
0:00:11;23/12/2015;2.206308E-02;7.233796E-02;4.701968E-03;0.284469;7.161458E-03;-3.555556;-2.224392E-02;-6.293403E-03
0:00:31;23/12/2015;2.152054E-02;0.0725188;4.882813E-03;0.2842882;7.486979E-03;-3.555556;-2.278646E-02;-6.510417E-03
0:00:51;23/12/2015;2.206308E-02;7.233796E-02;4.701968E-03;0.284469;7.378472E-03;-3.555556;-2.256944E-02;-6.835938E-03
0:01:11;23/12/2015;2.188223E-02;7.215711E-02;4.701968E-03;0.2842882;7.595486E-03;-3.555556;-2.235243E-02;-6.40191E-03
0:01:31;23/12/2015;2.188223E-02;7.215711E-02;4.882813E-03;0.2846499;7.595486E-03;-3.555556;-2.235243E-02;-6.40191E-03
0:01:51;23/12/2015;2.188223E-02;7.233796E-02;5.244502E-03;0.284469;7.486979E-03;-3.555556;-2.246094E-02;-6.618924E-03
0:02:11;23/12/2015;2.170139E-02;7.215711E-02;4.882813E-03;0.2848307;7.486979E-03;-3.555556;-2.235243E-02;-6.510417E-03
0:02:31;23/12/2015;2.206308E-02;7.233796E-02;4.701968E-03;0.2842882;7.378472E-03;-3.555556;-2.246094E-02;-6.618924E-03
0:02:51;23/12/2015;2.242477E-02;7.233796E-02;4.340278E-03;0.2841074;7.269965E-03;-3.555556;-2.213542E-02;-6.510417E-03
0:03:11;23/12/2015;2.224392E-02;7.215711E-02;4.701968E-03;0.2842882;7.595486E-03;-3.555556;-2.213542E-02;-6.618924E-03
0:03:31;23/12/2015;2.242477E-02;7.215711E-02;4.521123E-03;0.284469;7.595486E-03;-3.555556;-2.235243E-02;-6.293403E-03
0:03:51;23/12/2015;0.0213397;7.197627E-02;4.340278E-03;0.2842882;7.595486E-03;-3.555556;-2.202691E-02;-6.40191E-03
0:04:11;23/12/2015;2.188223E-02;7.233796E-02;4.159433E-03;0.284469;7.486979E-03;-3.555556;-2.235243E-02;-6.40191E-03
0:04:31;23/12/2015;2.188223E-02;7.233796E-02;3.978588E-03;0.2846499;7.378472E-03;-3.555556;-2.235243E-02;-6.293403E-03
0:04:51;23/12/2015;2.188223E-02;7.215711E-02;4.159433E-03;0.2839265;7.486979E-03;-3.555556;-2.224392E-02;-6.618924E-03
0:05:11;23/12/2015;2.170139E-02;7.233796E-02;4.521123E-03;0.2846499;7.269965E-03;-3.555556;-2.235243E-02;-6.727431E-03
0:05:31;23/12/2015;2.188223E-02;7.197627E-02;4.521123E-03;0.2842882;7.486979E-03;-3.555556;-2.224392E-02;-6.618924E-03
0:05:51;23/12/2015;2.170139E-02;7.197627E-02;5.063657E-03;0.284469;7.486979E-03;-3.555556;-2.246094E-02;-6.40191E-03
0:06:11;23/12/2015;2.224392E-02;7.197627E-02;4.521123E-03;0.2841074;7.378472E-03;-3.555556;-2.267795E-02;-6.40191E-03
0:06:31;23/12/2015;2.170139E-02;0.0725188;4.340278E-03;0.2842882;7.703993E-03;-3.555556;-2.267795E-02;-6.618924E-03
0:06:51;23/12/2015;2.152054E-02;7.233796E-02;3.616898E-03;0.2841074;7.595486E-03;-3.555556;-2.246094E-02;-6.293403E-03
0:07:11;23/12/2015;0.0213397;7.233796E-02;4.340278E-03;0.284469;7.269965E-03;-3.555556;-2.235243E-02;-6.727431E-03
0:07:31;23/12/2015;2.115886E-02;7.197627E-02;4.521123E-03;0.2850116;7.378472E-03;-3.555556;-2.202691E-02;-6.40191E-03
0:07:51;23/12/2015;2.115886E-02;0.0725188;4.701968E-03;0.2841074;7.486979E-03;-3.555556;-2.224392E-02;-6.510417E-03
0:08:11;23/12/2015;0.0213397;7.269965E-02;4.521123E-03;0.2842882;7.378472E-03;-3.555556;-2.213542E-02;-6.618924E-03
0:08:31;23/12/2015;2.115886E-02;7.233796E-02;4.701968E-03;0.2837456;7.269965E-03;-3.555556;-2.213542E-02;-6.510417E-03
0:08:51;23/12/2015;0.0213397;7.233796E-02;4.882813E-03;0.2846499;7.269965E-03;-3.555556;-2.235243E-02;-6.618924E-03
0:09:11;23/12/2015;0.0213397;7.215711E-02;4.340278E-03;0.2841074;7.378472E-03;-3.555556;-2.235243E-02;-6.510417E-03
0:09:31;23/12/2015;2.115886E-02;7.197627E-02;4.340278E-03;0.284469;7.595486E-03;-3.555556;-2.246094E-02;-6.40191E-03
0:09:51;23/12/2015;0.0213397;7.197627E-02;4.521123E-03;0.2842882;7.486979E-03;-3.555556;-2.224392E-02;-6.40191E-03
0:10:11;23/12/2015;2.079716E-02;7.233796E-02;4.521123E-03;0.284469;7.378472E-03;-3.555556;-2.256944E-02;-6.184896E-03
0:10:31;23/12/2015;2.115886E-02;7.197627E-02;4.701968E-03;0.2839265;7.269965E-03;-3.555556;-2.246094E-02;-6.510417E-03
0:10:51;23/12/2015;0.0213397;7.215711E-02;3.978588E-03;0.2842882;7.486979E-03;-3.555556;-2.235243E-02;-6.293403E-03
0:11:11;23/12/2015;2.170139E-02;7.215711E-02;4.340278E-03;0.2842882;7.378472E-03;-3.555556;-2.235243E-02;-6.727431E-03
0:11:31;23/12/2015;2.152054E-02;7.179543E-02;4.521123E-03;0.2846499;7.378472E-03;-3.555556;-2.235243E-02;-6.293403E-03
0:11:51;23/12/2015;0.0213397;7.215711E-02;4.701968E-03;0.2841074;7.378472E-03;-3.555556;-2.246094E-02;-6.618924E-03
0:12:11;23/12/2015;2.170139E-02;7.233796E-02;4.340278E-03;0.2848307;7.595486E-03;-3.555556;-2.224392E-02;-6.40191E-03
0:12:31;23/12/2015;0.0213397;7.179543E-02;4.701968E-03;0.2846499;7.486979E-03;-3.555556;-2.246094E-02;-6.618924E-03
0:12:51;23/12/2015;0.0213397;7.197627E-02;4.340278E-03;0.2846499;7.378472E-03;-3.555556;-2.224392E-02;-6.835938E-03
0:13:11;23/12/2015;2.097801E-02;7.197627E-02;4.340278E-03;0.2842882;7.269965E-03;-3.555556;-2.256944E-02;-6.835938E-03
0:13:31;23/12/2015;2.115886E-02;7.215711E-02;4.701968E-03;0.2842882;7.486979E-03;-3.555556;-2.267795E-02;-7.052951E-03
0:13:51;23/12/2015;2.115886E-02;7.215711E-02;4.521123E-03;0.2841074;7.378472E-03;-3.555556;-2.267795E-02;-6.618924E-03
0:14:11;23/12/2015;2.170139E-02;7.215711E-02;4.521123E-03;0.2842882;7.486979E-03;-3.555556;-2.278646E-02;-6.618924E-03
0:14:31;23/12/2015;2.188223E-02;7.233796E-02;4.159433E-03;0.2842882;7.378472E-03;-3.555556;-2.213542E-02;-6.618924E-03
0:14:51;23/12/2015;2.170139E-02;7.179543E-02;4.882813E-03;0.2842882;7.378472E-03;-3.555556;-2.256944E-02;-6.40191E-03
0:15:11;23/12/2015;0.0213397;7.197627E-02;4.159433E-03;0.2842882;7.486979E-03;-3.555556;-2.246094E-02;-6.727431E-03
0:15:31;23/12/2015;2.115886E-02;7.215711E-02;4.521123E-03;0.2842882;7.378472E-03;-3.555556;-0.0218099;-6.618924E-03
0:15:51;23/12/2015;2.152054E-02;7.233796E-02;4.521123E-03;0.2842882;7.703993E-03;-3.555556;-2.224392E-02;-6.727431E-03
0:16:11;23/12/2015;0.0213397;7.306135E-02;3.978588E-03;0.2846499;7.161458E-03;-3.555556;-2.213542E-02;-6.727431E-03
0:16:31;23/12/2015;2.152054E-02;7.233796E-02;4.340278E-03;0.2842882;7.486979E-03;-3.555556;-2.246094E-02;-6.184896E-03
0:16:51;23/12/2015;2.115886E-02;7.233796E-02;4.340278E-03;0.284469;7.378472E-03;-3.555556;-2.235243E-02;-6.510417E-03
0:17:11;23/12/2015;0.0213397;7.197627E-02;4.159433E-03;0.2842882;7.595486E-03;-3.555556;-2.311198E-02;-6.40191E-03
0:17:31;23/12/2015;2.152054E-02;7.161459E-02;4.340278E-03;0.284469;7.269965E-03;-3.555556;-2.246094E-02;-6.293403E-03
0:17:51;23/12/2015;2.079716E-02;7.197627E-02;4.340278E-03;0.2848307;7.595486E-03;-3.555556;-2.246094E-02;-6.727431E-03
0:18:11;23/12/2015;2.097801E-02;7.233796E-02;4.521123E-03;0.2841074;7.595486E-03;-3.555556;-2.246094E-02;-6.40191E-03
0:18:31;23/12/2015;0.0213397;7.215711E-02;4.521123E-03;0.284469;7.595486E-03;-3.555556;-2.235243E-02;-6.510417E-03
0:18:51;23/12/2015;2.152054E-02;0.0725188;3.797743E-03;0.2848307;7.486979E-03;-3.555556;-2.246094E-02;-6.618924E-03
0:19:11;23/12/2015;0.0213397;7.233796E-02;4.521123E-03;0.2848307;7.486979E-03;-3.555556;-2.235243E-02;-6.40191E-03
0:19:31;23/12/2015;2.170139E-02;7.179543E-02;4.159433E-03;0.2846499;7.378472E-03;-3.555556;-2.256944E-02;-6.076389E-03
0:19:51;23/12/2015;2.079716E-02;7.197627E-02;3.978588E-03;0.2848307;7.595486E-03;-3.555556;-2.246094E-02;-6.618924E-03
0:20:11;23/12/2015;2.097801E-02;7.215711E-02;4.701968E-03;0.2846499;7.486979E-03;-3.555556;-2.224392E-02;-6.40191E-03
0:20:31;23/12/2015;2.188223E-02;7.215711E-02;4.159433E-03;0.2846499;7.486979E-03;-3.555556;-2.213542E-02;-6.618924E-03
0:20:51;23/12/2015;2.097801E-02;7.197627E-02;4.340278E-03;0.284469;7.595486E-03;-3.555556;-2.224392E-02;-6.727431E-03
0:21:11;23/12/2015;2.152054E-02;7.197627E-02;4.340278E-03;0.284469;7.161458E-03;-3.555556;-2.267795E-02;-6.618924E-03
0:21:31;23/12/2015;2.097801E-02;7.215711E-02;3.978588E-03;0.2842882;7.269965E-03;-3.555556;-2.202691E-02;-6.510417E-03
