Time;Date;TC_Elicra_Gas_Preheater_1;TS_Elicra_Gas_Preheater_1;TC_Elicra_Gas_Preheater_2;TS_Elicra_Gas_Preheater_2;TC_Elicra_Mixer;TS_Elicra_Mixer;Inlet_Temp_Reactor.Zone_1;Inlet_Temp_Reactor.Zone_2;Inlet_Temp_Reactor.Zone_3;Inlet_Temp_Reactor.Zone_4;Inlet_Temp_Reactor.Zone_5;Inlet_Temp_Reactor.Zone_6;Inlet_Temp_Reactor.Zone_7;Inlet_Temp_Reactor.Zone_8;TC_Elicra_Oven_1;TC_Elicra_Oven_2;TC_Elicra_Oven_3;TC_Elicra_Oven_4;TC_Elicra_Oven_5;TC_Elicra_Oven_6;TC_Elicra_Oven_7;TC_Elicra_Oven_8
0:00:11;23/12/2015;638;644;691;698;726;722;470.3;482;489.5;486;471.1;447.2;405.7;306.7;4656;4770;4816;4783;4623;4371;3968;3141
0:00:31;23/12/2015;637;643;691;697;725;722;470.1;481.8;489.2;485.8;470.9;447;405.4;306.5;4653;4768;4814;4781;4621;4368;3966;3141
0:00:51;23/12/2015;637;643;690;697;724;721;469.8;481.6;489;485.6;470.7;446.7;405.2;306.2;4651;4765;4812;4778;4618;4366;3963;3131
0:01:11;23/12/2015;636;642;689;696;724;720;469.6;481.3;488.8;485.3;470.4;446.5;404.9;306;4649;4763;4809;4776;4616;4364;3961;3134
0:01:31;23/12/2015;636;641;689;696;723;720;469.4;481.1;488.5;485.1;470.2;446.2;404.7;305.8;4648;4761;4807;4774;4614;4361;3958;3118
0:01:51;23/12/2015;635;641;688;695;722;719;469.2;480.9;488.3;484.9;469.9;446;404.4;305.5;4644;4759;4805;4771;4611;4358;3956;3125
0:02:11;23/12/2015;635;640;688;694;721;718;469;480.7;488.1;484.6;469.7;445.8;404.2;305.2;4642;4756;4803;4769;4609;4356;3953;3122
0:02:31;23/12/2015;634;640;687;694;721;718;468.7;480.4;487.8;484.4;469.5;445.5;403.9;304.9;4640;4754;4800;4766;4606;4354;3950;3118
0:02:51;23/12/2015;633;639;686;693;720;717;468.5;480.2;487.6;484.2;469.2;445.3;403.6;304.7;4638;4752;4797;4764;4604;4351;3948;3111
0:03:11;23/12/2015;633;639;686;692;719;716;468.3;480;487.4;483.9;469;445;403.4;304.4;4636;4750;4795;4762;4601;4349;3945;3111
0:03:31;23/12/2015;632;638;685;692;719;716;468.1;479.8;487.1;483.7;468.7;444.8;403.1;304.1;4633;4749;4793;4759;4599;4346;3943;3112
0:03:51;23/12/2015;632;638;684;691;718;715;467.9;479.6;486.9;483.5;468.5;444.5;402.9;303.8;4631;4745;4791;4757;4596;4343;3939;3114
0:04:11;23/12/2015;631;637;684;690;717;714;467.7;479.3;486.7;483.2;468.3;444.3;402.6;303.5;4629;4743;4788;4755;4594;4341;3938;3108
0:04:31;23/12/2015;631;637;683;690;717;714;467.4;479.1;486.5;483;468;444;402.4;303.3;4627;4741;4786;4752;4592;4339;3935;3107
0:04:51;23/12/2015;630;636;682;689;716;713;467.2;478.9;486.2;482.8;467.8;443.8;402.1;303;4625;4738;4784;4750;4589;4336;3933;3102
0:05:11;23/12/2015;630;636;682;688;715;712;467;478.7;486;482.5;467.6;443.5;401.9;302.8;4622;4736;4782;4748;4587;4334;3930;3094
0:05:31;23/12/2015;629;635;681;688;715;712;466.8;478.4;485.8;482.3;467.3;443.3;401.6;302.5;4620;4734;4779;4745;4584;4331;3928;3097
0:05:51;23/12/2015;629;635;680;687;714;711;466.6;478.2;485.5;482.1;467.1;443.1;401.4;302.3;4618;4732;4777;4743;4582;4329;3925;3092
0:06:11;23/12/2015;628;634;680;687;713;710;466.3;478;485.3;481.8;466.8;442.8;401.1;302.1;4616;4730;4775;4740;4579;4326;3923;3089
0:06:31;23/12/2015;628;634;679;686;713;710;466.1;477.8;485.1;481.6;466.6;442.6;400.9;301.8;4615;4727;4772;4738;4577;4324;3920;3085
0:06:51;23/12/2015;627;633;678;685;712;709;465.9;477.6;484.8;481.4;466.4;442.3;400.6;301.5;4611;4725;4770;4736;4575;4321;3917;3084
0:07:11;23/12/2015;627;633;678;685;711;708;465.7;477.3;484.6;481.1;466.1;442.1;400.4;301.3;4609;4724;4768;4733;4572;4319;3915;3077
0:07:31;23/12/2015;626;632;677;684;711;708;465.5;477.1;484.4;480.9;465.8;441.8;400.1;301;4607;4721;4765;4731;4570;4316;3911;3082
0:07:51;23/12/2015;626;632;676;683;710;707;465.2;476.9;484.2;480.7;465.7;441.6;399.9;300.7;4605;4718;4763;4729;4568;4314;3910;3076
0:08:11;23/12/2015;625;631;676;683;709;706;465;476.7;483.9;480.4;465.4;441.4;399.6;300.5;4603;4716;4761;4726;4565;4312;3909;3078
0:08:31;23/12/2015;625;631;675;682;709;706;464.8;476.4;483.7;480.2;465.1;441.1;399.4;300.2;4600;4714;4758;4724;4563;4309;3905;3075
0:08:51;23/12/2015;624;630;675;682;708;705;464.6;476.2;483.4;479.9;464.9;440.9;399.1;300;4598;4712;4756;4722;4560;4307;3902;3064
0:09:11;23/12/2015;623;630;674;681;707;705;464.4;476;483.3;479.7;464.7;440.6;398.8;299.6;4596;4709;4754;4719;4558;4304;3900;3062
0:09:31;23/12/2015;623;629;673;680;707;704;464.1;475.8;483;479.5;464.5;440.4;398.6;299.3;4595;4707;4752;4717;4555;4302;3897;3055
0:09:51;23/12/2015;622;629;673;680;706;703;463.9;475.5;482.8;479.2;464.2;440.1;398.4;299.2;4592;4705;4749;4715;4553;4299;3895;3059
0:10:11;23/12/2015;622;628;672;679;705;703;463.7;475.3;482.5;479;464;439.9;398.1;298.9;4590;4702;4747;4712;4551;4297;3892;3060
0:10:31;23/12/2015;621;628;671;678;705;702;463.5;475.1;482.3;478.8;463.8;439.7;397.9;298.7;4588;4701;4745;4710;4548;4294;3890;3057
0:10:51;23/12/2015;621;627;671;678;704;701;463.3;474.9;482.1;478.6;463.5;439.4;397.6;298.4;4585;4698;4742;4708;4546;4292;3887;3058
0:11:11;23/12/2015;620;627;670;677;703;701;463;474.7;481.9;478.3;463.3;439.2;397.4;298.1;4583;4696;4740;4705;4544;4290;3885;3053
0:11:31;23/12/2015;620;626;669;676;703;700;462.8;474.4;481.6;478.1;463;438.9;397.1;297.7;4581;4694;4738;4703;4541;4287;3882;3047
0:11:51;23/12/2015;619;626;669;676;702;699;462.6;474.2;481.4;477.9;462.8;438.7;396.9;297.5;4579;4692;4736;4701;4539;4285;3880;3050
0:12:11;23/12/2015;619;625;668;675;701;699;462.4;474;481.2;477.6;462.6;438.4;396.6;297.2;4577;4690;4733;4698;4536;4282;3878;3056
0:12:31;23/12/2015;618;625;668;675;701;698;462.2;473.8;480.9;477.4;462.3;438.2;396.4;296.9;4575;4687;4731;4696;4534;4280;3875;3046
0:12:51;23/12/2015;618;624;667;674;700;698;462;473.6;480.7;477.2;462.1;438;396.2;296.6;4573;4685;4729;4694;4532;4277;3872;3044
0:13:11;23/12/2015;617;624;666;674;700;697;461.7;473.3;480.5;476.9;461.9;437.7;395.9;296.4;4570;4683;4726;4691;4529;4275;3870;3039
0:13:31;23/12/2015;617;623;666;673;699;696;461.5;473.1;480.3;476.7;461.6;437.5;395.7;296.1;4568;4681;4724;4689;4527;4272;3867;3039
0:13:51;23/12/2015;616;623;665;672;698;696;461.3;472.9;480;476.5;461.4;437.2;395.4;295.9;4566;4677;4722;4686;4525;4270;3865;3034
0:14:11;23/12/2015;616;622;664;672;698;695;461.1;472.7;479.8;476.2;461.2;437;395.2;295.7;4564;4676;4720;4684;4522;4268;3863;3027
0:14:31;23/12/2015;615;622;664;671;697;694;460.9;472.5;479.6;476;460.9;436.8;394.9;295.4;4562;4676;4717;4682;4520;4265;3860;3025
0:14:51;23/12/2015;615;621;663;670;696;694;460.7;472.2;479.4;475.8;460.7;436.5;394.7;295.2;4559;4672;4715;4680;4517;4263;3858;3023
0:15:11;23/12/2015;614;621;662;670;696;693;460.5;472;479.1;475.6;460.5;436.3;394.4;294.9;4557;4670;4713;4677;4515;4260;3855;3018
0:15:31;23/12/2015;614;620;662;669;695;693;460.2;471.8;478.9;475.3;460.2;436.1;394.2;294.6;4555;4668;4711;4675;4513;4258;3853;3014
0:15:51;23/12/2015;613;620;661;669;694;692;460;471.6;478.7;475.1;460;435.8;394;294.3;4553;4665;4708;4673;4510;4255;3850;3008
0:16:11;23/12/2015;613;619;661;668;694;691;459.8;471.4;478.5;474.9;459.8;435.6;393.7;294.1;4551;4663;4706;4670;4508;4253;3848;3017
0:16:31;23/12/2015;612;619;660;667;693;691;459.6;471.2;478.3;474.7;459.5;435.4;393.5;293.8;4549;4661;4704;4668;4506;4250;3845;3017
0:16:51;23/12/2015;612;618;659;667;692;690;459.4;470.9;478;474.4;459.3;435.1;393.2;293.6;4547;4660;4701;4666;4503;4248;3843;3019
0:17:11;23/12/2015;611;618;659;666;692;690;459.2;470.7;477.8;474.2;459.1;434.9;393;293.3;4545;4657;4699;4663;4501;4246;3839;3011
0:17:31;23/12/2015;611;617;658;666;691;689;459;470.5;477.6;474;458.8;434.6;392.8;293.1;4542;4655;4697;4661;4498;4243;3838;3009
0:17:51;23/12/2015;610;617;658;665;691;688;458.8;470.3;477.4;473.8;458.6;434.4;392.5;292.9;4540;4652;4695;4659;4496;4241;3835;3012
0:18:11;23/12/2015;610;616;657;664;690;688;458.5;470.1;477.1;473.5;458.4;434.2;392.3;292.7;4538;4650;4692;4657;4494;4239;3833;3006
0:18:31;23/12/2015;609;616;656;664;689;687;458.3;469.9;476.9;473.3;458.1;433.9;392;292.4;4536;4648;4690;4654;4491;4236;3831;2997
0:18:51;23/12/2015;609;615;656;663;689;687;458.1;469.6;476.7;473.1;457.9;433.7;391.8;292.2;4534;4646;4688;4652;4489;4234;3828;3000
0:19:11;23/12/2015;608;615;655;662;688;686;457.9;469.4;476.4;472.8;457.7;433.4;391.5;292;4531;4643;4685;4650;4487;4231;3826;3003
0:19:31;23/12/2015;608;614;654;662;687;685;457.7;469.2;476.2;472.6;457.4;433.2;391.3;291.7;4529;4641;4683;4647;4484;4229;3823;2999
0:19:51;23/12/2015;607;614;654;661;687;684;457.5;469;476;472.4;457.2;433;391;291.5;4527;4639;4681;4645;4482;4227;3821;2988
0:20:11;23/12/2015;607;613;653;661;686;684;457.3;468.8;475.8;472.1;457;432.7;390.8;291.2;4525;4637;4679;4643;4480;4224;3820;2986
0:20:31;23/12/2015;606;613;653;660;685;683;457;468.6;475.6;471.9;456.7;432.5;390.6;291;4523;4635;4677;4640;4477;4222;3816;2994
0:20:51;23/12/2015;606;612;652;660;685;683;456.8;468.3;475.3;471.7;456.5;432.3;390.3;290.9;4520;4633;4674;4638;4475;4220;3814;2996
0:21:11;23/12/2015;605;612;651;659;684;682;456.6;468.1;475.1;471.5;456.3;432;390.1;290.7;4519;4631;4672;4636;4473;4217;3812;2995
0:21:31;23/12/2015;605;611;651;658;684;682;456.4;467.9;474.9;471.2;456.1;431.8;389.9;290.5;4517;4628;4670;4634;4470;4215;3810;2993
0:21:51;23/12/2015;604;611;650;658;683;681;456.2;467.7;474.7;471;455.8;431.6;389.6;290.4;4514;4626;4668;4631;4468;4213;3806;2991
