Time;Date;TC_Nabertherm_Gas_Preheater_1;TC_Nabertherm_Gas_Preheater_2;TC_Nabertherm_Mixer
0:00:12;24/12/2015;185;188;195
0:00:32;24/12/2015;185;188;195
0:00:52;24/12/2015;185;188;195
0:01:12;24/12/2015;185;188;195
0:01:32;24/12/2015;185;188;195
0:01:52;24/12/2015;185;188;195
0:02:12;24/12/2015;185;188;195
0:02:32;24/12/2015;185;188;195
0:02:52;24/12/2015;185;188;195
0:03:12;24/12/2015;185;188;195
0:03:32;24/12/2015;185;188;195
0:03:52;24/12/2015;185;188;195
0:04:12;24/12/2015;185;188;195
0:04:32;24/12/2015;185;188;195
0:04:52;24/12/2015;185;188;195
0:05:12;24/12/2015;185;188;195
0:05:32;24/12/2015;185;188;195
0:05:52;24/12/2015;185;188;195
0:06:12;24/12/2015;185;188;195
0:06:32;24/12/2015;185;188;195
0:06:52;24/12/2015;185;188;195
0:07:12;24/12/2015;185;188;195
0:07:32;24/12/2015;185;188;195
0:07:52;24/12/2015;185;188;195
0:08:12;24/12/2015;185;188;195
0:08:32;24/12/2015;185;188;195
0:08:52;24/12/2015;185;188;195
0:09:12;24/12/2015;185;188;195
0:09:32;24/12/2015;185;188;195
0:09:52;24/12/2015;185;188;195
0:10:12;24/12/2015;185;188;195
0:10:32;24/12/2015;185;188;195
0:10:52;24/12/2015;185;188;195
0:11:12;24/12/2015;185;188;195
0:11:32;24/12/2015;185;188;195
0:11:52;24/12/2015;185;187;194
0:12:12;24/12/2015;185;187;194
0:12:32;24/12/2015;185;187;194
0:12:52;24/12/2015;185;187;194
0:13:12;24/12/2015;185;187;194
0:13:32;24/12/2015;184;187;194
0:13:52;24/12/2015;184;187;194
0:14:12;24/12/2015;184;187;194
0:14:32;24/12/2015;185;187;194
0:14:52;24/12/2015;184;187;194
0:15:12;24/12/2015;184;187;194
0:15:32;24/12/2015;184;187;194
0:15:52;24/12/2015;184;187;194
0:16:12;24/12/2015;184;187;194
0:16:32;24/12/2015;184;187;194
0:16:52;24/12/2015;184;187;194
0:17:12;24/12/2015;184;187;194
0:17:32;24/12/2015;184;187;194
0:17:52;24/12/2015;184;187;194
0:18:12;24/12/2015;184;187;194
0:18:32;24/12/2015;184;187;194
0:18:52;24/12/2015;184;187;194
0:19:12;24/12/2015;184;187;194
0:19:32;24/12/2015;184;187;194
0:19:52;24/12/2015;184;187;194
0:20:12;24/12/2015;184;187;194
0:20:32;24/12/2015;184;187;194
0:20:52;24/12/2015;184;187;194
0:21:12;24/12/2015;184;187;194
0:21:32;24/12/2015;184;187;194
0:21:52;24/12/2015;184;187;194
0:22:12;24/12/2015;184;187;194
0:22:32;24/12/2015;184;187;194
0:22:52;24/12/2015;184;187;194
0:23:12;24/12/2015;184;187;194
0:23:32;24/12/2015;184;187;194
0:23:52;24/12/2015;184;187;194
0:24:12;24/12/2015;184;187;194
0:24:32;24/12/2015;184;187;194
0:24:52;24/12/2015;184;187;194
0:25:12;24/12/2015;184;187;194
0:25:32;24/12/2015;184;187;194
0:25:52;24/12/2015;184;187;194
0:26:12;24/12/2015;184;187;194
0:26:32;24/12/2015;184;187;194
0:26:52;24/12/2015;184;187;194
0:27:12;24/12/2015;184;187;194
0:27:32;24/12/2015;184;187;194
0:27:52;24/12/2015;184;187;194
0:28:12;24/12/2015;184;187;194
0:28:32;24/12/2015;184;187;194
0:28:52;24/12/2015;184;187;194
0:29:12;24/12/2015;184;187;194
0:29:32;24/12/2015;184;187;194
0:29:52;24/12/2015;184;187;194
0:30:12;24/12/2015;184;187;194
0:30:32;24/12/2015;184;187;194
0:30:52;24/12/2015;184;187;194
0:31:12;24/12/2015;184;187;194
0:31:32;24/12/2015;184;187;194
0:31:52;24/12/2015;184;187;194
0:32:12;24/12/2015;184;187;194
0:32:32;24/12/2015;184;187;194
0:32:52;24/12/2015;184;187;194
0:33:12;24/12/2015;184;187;194
0:33:32;24/12/2015;184;187;194
0:33:52;24/12/2015;184;187;194
0:34:12;24/12/2015;184;187;194
0:34:32;24/12/2015;184;187;193
0:34:52;24/12/2015;184;186;193
0:35:12;24/12/2015;184;186;193
0:35:32;24/12/2015;184;186;193
0:35:52;24/12/2015;184;186;193
0:36:12;24/12/2015;183;186;193
0:36:32;24/12/2015;183;186;193
0:36:52;24/12/2015;183;186;193
0:37:12;24/12/2015;183;186;193
0:37:32;24/12/2015;183;186;193
0:37:52;24/12/2015;183;186;193
0:38:12;24/12/2015;183;186;193
0:38:32;24/12/2015;183;186;193
0:38:52;24/12/2015;183;186;193
0:39:12;24/12/2015;183;186;193
0:39:32;24/12/2015;183;186;193
0:39:52;24/12/2015;183;186;193
0:40:12;24/12/2015;183;186;193
0:40:32;24/12/2015;183;186;193
0:40:52;24/12/2015;183;186;193
0:41:12;24/12/2015;183;186;193
0:41:32;24/12/2015;183;186;193
0:41:52;24/12/2015;183;186;193
0:42:12;24/12/2015;183;186;193
0:42:32;24/12/2015;183;186;193
0:42:52;24/12/2015;183;186;193
0:43:12;24/12/2015;183;186;193
0:43:32;24/12/2015;183;186;193
0:43:52;24/12/2015;183;186;193
0:44:12;24/12/2015;183;186;193
0:44:32;24/12/2015;183;186;193
0:44:52;24/12/2015;183;186;193
0:45:12;24/12/2015;183;186;193
0:45:32;24/12/2015;183;186;193
0:45:52;24/12/2015;183;186;193
0:46:12;24/12/2015;183;186;193
0:46:32;24/12/2015;183;186;193
0:46:52;24/12/2015;183;186;193
0:47:12;24/12/2015;183;186;193
0:47:32;24/12/2015;183;186;193
0:47:52;24/12/2015;183;186;193
0:48:12;24/12/2015;183;186;193
0:48:32;24/12/2015;183;186;193
0:48:52;24/12/2015;183;186;193
0:49:12;24/12/2015;183;186;193
0:49:32;24/12/2015;183;186;193
0:49:52;24/12/2015;183;186;193
0:50:12;24/12/2015;183;186;193
0:50:32;24/12/2015;183;186;193
0:50:52;24/12/2015;183;186;193
0:51:12;24/12/2015;183;186;193
0:51:32;24/12/2015;183;186;193
0:51:52;24/12/2015;183;186;193
0:52:12;24/12/2015;183;186;193
0:52:32;24/12/2015;183;186;193
0:52:52;24/12/2015;183;186;193
0:53:12;24/12/2015;183;186;193
0:53:32;24/12/2015;183;186;193
0:53:52;24/12/2015;183;186;193
0:54:12;24/12/2015;183;186;193
0:54:32;24/12/2015;183;186;193
0:54:52;24/12/2015;183;186;193
0:55:12;24/12/2015;183;186;193
0:55:32;24/12/2015;183;186;193
0:55:52;24/12/2015;183;186;193
0:56:12;24/12/2015;183;186;193
0:56:32;24/12/2015;183;186;193
0:56:52;24/12/2015;183;186;193
0:57:12;24/12/2015;183;185;193
0:57:32;24/12/2015;183;185;192
0:57:52;24/12/2015;183;185;192
0:58:12;24/12/2015;183;185;192
0:58:32;24/12/2015;183;185;192
0:58:52;24/12/2015;183;185;192
0:59:12;24/12/2015;183;185;192
0:59:32;24/12/2015;183;185;192
0:59:52;24/12/2015;183;185;192
1:00:12;24/12/2015;183;185;192
1:00:32;24/12/2015;183;185;192
1:00:52;24/12/2015;182;185;192
1:01:12;24/12/2015;182;185;192
1:01:32;24/12/2015;182;185;192
1:01:52;24/12/2015;182;185;192
1:02:12;24/12/2015;182;185;192
1:02:32;24/12/2015;182;185;192
1:02:52;24/12/2015;182;185;192
1:03:12;24/12/2015;182;185;192
1:03:32;24/12/2015;182;185;192
1:03:52;24/12/2015;182;185;192
1:04:12;24/12/2015;182;185;192
1:04:32;24/12/2015;182;185;192
1:04:52;24/12/2015;182;185;192
1:05:12;24/12/2015;182;185;192
1:05:32;24/12/2015;182;185;192
1:05:52;24/12/2015;182;185;192
1:06:12;24/12/2015;182;185;192
1:06:32;24/12/2015;182;185;192
1:06:52;24/12/2015;182;185;192
1:07:12;24/12/2015;182;185;192
1:07:32;24/12/2015;182;185;192
1:07:52;24/12/2015;182;185;192
1:08:12;24/12/2015;182;185;192
1:08:32;24/12/2015;182;185;192
1:08:52;24/12/2015;182;185;192
1:09:12;24/12/2015;182;185;192
1:09:32;24/12/2015;182;185;192
1:09:52;24/12/2015;182;185;192
1:10:12;24/12/2015;182;185;192
1:10:32;24/12/2015;182;185;192
1:10:52;24/12/2015;182;185;192
1:11:12;24/12/2015;182;185;192
1:11:32;24/12/2015;182;185;192
1:11:52;24/12/2015;182;185;192
1:12:12;24/12/2015;182;185;192
1:12:32;24/12/2015;182;185;192
1:12:52;24/12/2015;182;185;192
1:13:12;24/12/2015;182;185;192
1:13:32;24/12/2015;182;185;192
1:13:52;24/12/2015;182;185;192
1:14:12;24/12/2015;182;185;192
1:14:32;24/12/2015;182;185;192
1:14:52;24/12/2015;182;185;192
1:15:12;24/12/2015;182;185;192
1:15:32;24/12/2015;182;185;192
1:15:52;24/12/2015;182;185;192
1:16:12;24/12/2015;182;185;192
1:16:32;24/12/2015;182;185;192
1:16:52;24/12/2015;182;185;192
1:17:12;24/12/2015;182;185;192
1:17:32;24/12/2015;182;185;192
1:17:52;24/12/2015;182;184;192
1:18:12;24/12/2015;182;185;192
1:18:32;24/12/2015;182;185;192
1:18:52;24/12/2015;182;184;192
1:19:12;24/12/2015;182;184;191
1:19:32;24/12/2015;182;184;192
1:19:52;24/12/2015;182;184;191
1:20:12;24/12/2015;182;184;192
1:20:32;24/12/2015;182;184;191
1:20:52;24/12/2015;182;184;191
1:21:12;24/12/2015;182;184;191
1:21:32;24/12/2015;182;184;191
1:21:52;24/12/2015;182;184;191
1:22:12;24/12/2015;182;184;191
1:22:32;24/12/2015;182;184;191
1:22:52;24/12/2015;182;184;191
1:23:12;24/12/2015;182;184;191
1:23:32;24/12/2015;182;184;191
1:23:52;24/12/2015;182;184;191
1:24:12;24/12/2015;182;184;191
1:24:32;24/12/2015;182;184;191
1:24:52;24/12/2015;181;184;191
1:25:12;24/12/2015;181;184;191
1:25:32;24/12/2015;181;184;191
1:25:52;24/12/2015;182;184;191
1:26:12;24/12/2015;181;184;191
1:26:32;24/12/2015;181;184;191
1:26:52;24/12/2015;181;184;191
1:27:12;24/12/2015;181;184;191
1:27:32;24/12/2015;181;184;191
1:27:52;24/12/2015;181;184;191
1:28:12;24/12/2015;181;184;191
1:28:32;24/12/2015;181;184;191
1:28:52;24/12/2015;181;184;191
