Time;Date;TC_ROT-01;TC_ROT-02;TC_ROT-03;TC_V-058
0:00:12;24/12/2015;2402;2314;2218;2530
0:00:32;24/12/2015;2397;2309;2214;2526
0:00:52;24/12/2015;2393;2304;2210;2521
0:01:12;24/12/2015;2387;2299;2205;2517
0:01:32;24/12/2015;2382;2295;2201;2512
0:01:52;24/12/2015;2377;2290;2196;2508
0:02:12;24/12/2015;2372;2285;2192;2503
0:02:32;24/12/2015;2367;2279;2187;2498
0:02:52;24/12/2015;2362;2274;2183;2494
0:03:12;24/12/2015;2357;2269;2178;2489
0:03:32;24/12/2015;2352;2265;2174;2484
0:03:52;24/12/2015;2347;2260;2169;2480
0:04:12;24/12/2015;2342;2255;2165;2475
0:04:32;24/12/2015;2337;2250;2160;2471
0:04:52;24/12/2015;2332;2246;2156;2466
0:05:12;24/12/2015;2328;2241;2152;2462
0:05:32;24/12/2015;2323;2237;2148;2458
0:05:52;24/12/2015;2320;2234;2145;2454
0:06:12;24/12/2015;2316;2230;2141;2451
0:06:32;24/12/2015;2313;2228;2138;2447
0:06:52;24/12/2015;2311;2225;2136;2445
0:07:12;24/12/2015;2309;2223;2134;2442
0:07:32;24/12/2015;2308;2222;2132;2440
0:07:52;24/12/2015;2307;2221;2131;2438
0:08:12;24/12/2015;2307;2221;2131;2437
0:08:32;24/12/2015;2308;2222;2131;2437
0:08:52;24/12/2015;2310;2224;2132;2437
0:09:12;24/12/2015;2312;2226;2134;2437
0:09:32;24/12/2015;2316;2229;2137;2438
0:09:52;24/12/2015;2320;2233;2140;2439
0:10:12;24/12/2015;2324;2238;2144;2442
0:10:32;24/12/2015;2330;2243;2149;2444
0:10:52;24/12/2015;2336;2248;2154;2447
0:11:12;24/12/2015;2342;2255;2161;2451
0:11:32;24/12/2015;2350;2262;2167;2456
0:11:52;24/12/2015;2358;2269;2174;2460
0:12:12;24/12/2015;2366;2277;2181;2465
0:12:32;24/12/2015;2374;2285;2189;2470
0:12:52;24/12/2015;2383;2293;2197;2476
0:13:12;24/12/2015;2392;2302;2204;2482
0:13:32;24/12/2015;2400;2311;2213;2489
0:13:52;24/12/2015;2410;2320;2221;2496
0:14:12;24/12/2015;2419;2329;2230;2503
0:14:32;24/12/2015;2429;2339;2239;2511
0:14:52;24/12/2015;2439;2348;2249;2519
0:15:12;24/12/2015;2449;2358;2258;2528
0:15:32;24/12/2015;2460;2368;2267;2536
